Group	0	1	2	3	4	5	6	7
16	General, Onion Knight x2	Onion Knight x4	Chaser, Trapper x3	Chaser, Onion Knight x3	Lenergia	Commander x3	Death Warden	None
17	Lukhavi x2	None	None	None	Murussu, Baalzephon	None	Desert Hare x3	Balloon
18	Bomb x6	Io	Cancer x3	Fossil Dragon x2	Fossil Dragon, Bug x3	Bug x3	Bug x6	Don x2
19	Don, Wyvern x2	Don, Wyvern, Litwor Chicken x2	Grasswyrm x3	Don, Joker	Joker x3	Litwor Chicken x5	Zombie Dragon	Zombie Dragon, Outcast x2
20	Outcast x3	Provoker x2	Antares x3	Lich, Provoker, Antares	Lich x3	Imperial Elite x3	Balloon x3	Balloon x6
21	Briareus	Chimera	Devourer, Briareus	Devourer x3	Adamankary, Bonnacon x2	Adamankary x2	Bonnacon x5	Mandrake x3
22	Mandrake, Land Grillon x2	Venobennu x2	Gigantos	None	None	None	Gigantos x2	Sky Armor x2, Spitfire
23	Sky Armor, Spitfire	Behemoth	Apocrypha, Misfit x2	Apocrypha	Ninja x2	Platinum Dragon x3	Apocrypha x3	Brainpan x2, Misfit, Apocrypha
24	Brainpan x3	Dragon	Behemoth, Misfit x2	Behemoth x2	Ninja x2, Platinum Dragon	Grenade	Chimera, Devourer x2	Briareus x2
25	Peeper x2	Peeper x3	Land Ray, Peeper x2	Black Dragon	Daedalus, Ahriman	Fafnir x2	Fafnir x4	Killer Mantis, Fafnir
26	Killer Mantis x2, Fafnir	Murussu, Gigantoad x2	Luna Wolf, Rukh	Luna Wolf x2	Rukh, Murussu, Gigantoad	Cherry, Ahriman x2	Ahriman x3	Zokka x2, Nightwalker
27	None	Scorpion x3	Intangir	Nightwalker x4	Vector Chimera x2	Devoahan	Devoahan, Delta Beetle x2	Vampire Thorn x2, Lizard
28	Vampire Thorn x2	Delta Beetle x4	Vampire Thorn x2, Delta Beetle	Devoahan, Lizard	Cancer x2, Desert Hare x2	Cactuar	Sandhorse x2	Sandhorse, Cancer x2
29	Oceanus	Oceanus, Desert Hare x3	Fiend Dragon x2	Landworm	Humpty x3	Cruller, Humpty x2	Humpty x4	Neck Hunter x2
30	Neck Hunter, Cruller, Humpty x2	Dante	Dropper x3	Tonberry x3	Marchosias	Slagworm	Marchosias, Deepeye x2	Bogy x2
31	Deepeye x6	Deepeye x2, Mousse x2	Mousse x3	Mousse	Borghese x2	Borghese, Cloudwraith x2	Skeletal Horror	Cloudwraith
32	Cloudwraith, Exoray x2	Exoray x3	Malboro, Exoray	Malboro	None	Tonberry	Knotty x4	Tzakmaqiel, Illuyankas
33	Tzakmaqiel, Knotty x3	Illuyankas x3	Anemone x2, Onion Dasher	Anemone x4	Illuyankas, Onion Dasher x2	Luridan x3	Punisher x2, Devil Fist	Glasya Labolas
34	Glasya Labolas, Mugbear, Devil Fist	Mugbear	Luridan x6	Mugbear, Punisher	Twinscythe	Twinscythe x2	Gorgimera	Vector Lythos x4
35	Primeval Dragon, Great Malboro	Garm x3	Test Rider	Lukhavi, Garm x2	Wizard x3	Wizard x2, Psychos x3	Garm x2, Psychos x2	Psychos x6
36	Magna Roader (Yellow) x2, Magna Roader (Brown)	Magna Roader (Yellow), Magna Roader (Brown) x2	Primeval Dragon x2	None	Blade Dancer x2, Crusher x2	Caladrius x2, Coeurl Cat, Crusher x2	Caladrius x2	Blade Dancer, Coeurl Cat x4
37	Misty x2	Rafflesia x3	Still Life	Aspidochelon x2	Mahadeva	Aspidochelon, Moonform, Creature	Moonform x3	Moonform, Medusa Chicken x3
38	Sorath, Warlock, Creature	Sorath x2	Warlock, Medusa Chicken x2, Creature x2	Great Behemoth, Vector Lythos x2	Fiend Dragon	Devil x2	Devil, Figaro Lizard x2	Lunatys x2, Figaro Lizard x2
39	Lunatys	Armored Weapon	Enuo x2	Enuo, Devil, Figaro Lizard	Lunatys x4	Al Jabr x2	Samurai, Al Jabr x2	Pluto Armor x2
40	Coco, Alluring Rider	Pluto Armor, Schmidt	Weredragon, Parasite x3	Alluring Rider, Pandora x3	Weredragon	Coco, Samurai, Suriander	Suriander, Pandora, Parasite x2	Crawler x3
41	Tyrannosaur x2	Tyrannosaur	Brachiosaur	Greater Mantis, Sprinter, Lycaon x2	Leap Frog x4	Greater Mantis x2	Basilisk x2, Leap Frog	Tumbleweed x4
42	Sprinter x2, Lycaon x2	Great Behemoth, Great Malboro, Vector Lythos	Great Malboro x3	Vasegiatta	Vasegiatta, Purusa	Purusa, Gloomwind	Gloomwind x3	None
43	Face x2	Clymenus x3	Face, Zeveak, Necromancer x2	Clymenus x2, Necromancer	Seaflower x5	Ouroboros, Seaflower x2	Chaos Dragon, Ouroboros, Seaflower x2	Galypdes, Chaos Dragon x2
44	None	None	Kamui x2	Covert, Kamui	Wartpuck x2	Shambling Corpse x2	Amduscias, Covert x2	Amduscias, Baalzephon
45	Baalzephon x2, Shambling Corpse x2	Wartpuck, Kamui	None	Magic Urn x2	Flan x6	Flan x4	None	None
46	Destroyer x2	Lenergia x2, Destroyer	None	None	None	None	None	None
47	None	None	None	None	None	Vector Hound x2, Commander	Vector Hound x2	Cartagra, Acrophies x2
48	Gold Bear, Acrophies	Cartagra x3	Acrophies x2	Darkside x2	Darkside, Specter, Eukaryote x3	Valeor, Wild Rat	Valeor x3	Valeor x2, Wild Rat x3
49	None	None	None	None	None	None	None	None
50	None	None	None	InnoSent, Fortis	Fortis x2	None	Duel Armor x2, Death Machine	Gamma
51	InnoSent x3	Junk x3	None	None	Proto Armor, Onion Knight x2	Onion Knight x5	Magna Roader (Purple) x2	Magna Roader (Red) x4
52	None	None	Templar x2, Imperial Soldier x2	Balloon x4	Imperial Soldier x2	Death Machine, Metal Hitman x4	Metal Hitman x3	Duel Armor, Fortis
53	Sergeant x4	None	Sergeant	None	None	None	None	None
54	Behemoth King (Undead)	Dark Force x2	Yojimbo x2, Dark Force	Demon Knight, Yojimbo	Outsider x2, Cherry	Mover x3	Muud Suud	Daedalus x2
55	None	None	None	None	None	None	None	None
56	None	None	None	None	None	None	None	None
57	None	None	None	None	Behemoth King (Living)	None	None	None
58	None	None	None	None	None	None	None	None
59	None	None	None	None	None	None	None	None
60	None	None	None	None	None	None	None	None
61	None	Holy Dragon	None	None	None	None	None	None
62	None	None	None	None	None	None	None	None
63	None	None	None	None	None	None	None	None
64	None	None	None	None	None	None	None	None
